CompoundName	SumFormula	Mass	Charge	RetentionTime	RetentionTimeRange	IsoDistribution
feature_98	 	713.5282467773437	+1	616.8028564453125	0	0
feature_99	 	926.6531732421874	+2	387.7190246582031	0	0
feature_100	 	270.168688671875	+1	319.9994201660156	0	0
feature_101	 	1276.8982904296874	+2	397.0964660644531	0	0
feature_102	 	451.3517331054687	+1	377.52215576171875	0	0
feature_103	 	551.4399774414062	+2	377.52215576171875	0	0
feature_104	 	342.2988766601562	+1	377.52215576171875	0	0
feature_105	 	765.5230587890625	+1	615.6700439453125	0	0
feature_106	 	397.1414975097656	+1	374.53643798828125	0	0
feature_107	 	554.3097409179687	+1	527.9166259765625	0	0
feature_108	 	249.16993989257813	+1	476.52008056640625	0	0
feature_109	 	223.12030305175782	+1	60.388397216796875	0	0
feature_110	 	271.2505978515625	+1	600.8922729492188	0	0
feature_111	 	655.4864376953125	+1	599.7958984375	0	0
feature_112	 	677.470690625	+1	618.2531127929688	0	0
feature_113	 	159.06784333496094	+1	122.52059936523438	0	0
feature_114	 	2500.970922265625	+2	362.9070739746094	0	0
feature_115	 	723.5615719726562	+1	377.52215576171875	0	0
feature_116	 	231.16174592285157	+1	509.0787048339844	0	0
feature_117	 	329.2561520507812	+1	507.6304626464844	0	0
feature_118	 	420.31355561523435	+1	636.4139404296875	0	0
feature_119	 	2374.93796328125	+2	342.2830810546875	0	0
feature_120	 	151.0627774169922	+1	162.73118591308594	0	0
feature_121	 	2500.96921328125	+2	353.38995361328125	0	0
feature_122	 	771.5699337890625	+1	633.053955078125	0	0
feature_123	 	2416.947973046875	+2	346.2428894042969	0	0
feature_124	 	2357.91159609375	+2	342.67779541015625	0	0
feature_125	 	824.5619381835937	+1	385.3557434082031	0	0
feature_126	 	829.6117428710937	+1	649.0914306640625	0	0
feature_127	 	1583.17624453125	+2	404.7756042480469	0	0
feature_128	 	250.06965913085938	+1	185.13706970214844	0	0
feature_129	 	396.1931332519531	+1	527.40087890625	0	0
feature_130	 	303.2921017578125	+1	537.270263671875	0	0
feature_131	 	363.2557858398437	+1	634.0433959960938	0	0
feature_132	 	809.54930390625	+1	614.55908203125	0	0
feature_133	 	267.0962094238281	+1	72.69880676269531	0	0
feature_134	 	387.2557248046875	+1	638.6360473632812	0	0
feature_135	 	459.1589840820312	+1	63.770721435546875	0	0
feature_136	 	300.1217221191406	+1	84.16207122802734	0	0
feature_137	 	421.24202241210935	+1	78.65166473388672	0	0
feature_138	 	591.2019528320312	+1	85.33019256591797	0	0
feature_139	 	255.16899384765625	+1	140.17677307128906	0	0
feature_140	 	286.1636227539062	+1	338.41326904296875	0	0
feature_141	 	250.14247407226563	+1	117.86199951171875	0	0
feature_142	 	634.1715573242187	+1	85.68805694580078	0	0
feature_143	 	471.1734494140625	+1	180.00360107421875	0	0
feature_144	 	2811.09714296875	+2	346.4256591796875	0	0
feature_145	 	165.07838715820313	+1	151.91940307617188	0	0
feature_146	 	2677.0380609375	+2	360.0489196777344	0	0
feature_147	 	307.16389741210935	+1	223.20603942871094	0	0
feature_148	 	210.09990205078125	+1	236.39295959472656	0	0
feature_149	 	391.1474484375	+1	78.65166473388672	0	0
feature_150	 	194.10498322753907	+1	106.65724182128906	0	0
feature_151	 	2575.99167421875	+2	344.0242004394531	0	0
feature_152	 	154.07365693359375	+1	92.36509704589844	0	0
feature_153	 	264.10399140625	+1	48.91987991333008	0	0
feature_154	 	557.4132565429687	+1	491.58807373046875	0	0
feature_155	 	420.3095578125	+1	512.9819946289062	0	0
feature_156	 	227.12642182617188	+1	236.39295959472656	0	0
